shift_type,shift_intensity,condition_group,reference_controller,primary_controller,paired_episodes,rmse_reference,rmse_primary,rmse_delta_primary_minus_reference,rmse_win_rate_primary,success_rate_reference,success_rate_primary,success_delta_primary_minus_reference,final_error_delta_primary_minus_reference,smoothness_delta_primary_minus_reference,mean_correction_gain_primary
actuator_delay+disturbance_burst,medium,compound_shift_ood,adaptive_gru_nominal,adaptive_gru_uncertainty,9,0.17995989653799263,0.18256288932429415,0.0026029927863015067,0.2222222222222222,1.0,1.0,0.0,0.005353433493938724,-0.0060324693719546,0.9541096952226427
actuator_delay+disturbance_burst,mild,compound_shift_ood,adaptive_gru_nominal,adaptive_gru_uncertainty,9,0.12719386070966715,0.1298072884480158,0.002613427738348618,0.3333333333333333,1.0,1.0,0.0,-9.649557371931305e-05,-0.005819112062454248,0.950148257944319
actuator_delay+disturbance_burst,severe,compound_shift_ood,adaptive_gru_nominal,adaptive_gru_uncertainty,9,0.2258960240417056,0.23525435560279417,0.009358331561088578,0.1111111111111111,1.0,1.0,0.0,0.0015610386617481802,-0.0171953390041987,0.9547052582105001
disturbance_burst,medium,hard_unseen_trajectory,adaptive_gru_nominal,adaptive_gru_uncertainty,3,0.16382913788159684,0.15335930387179053,-0.010469834009806306,1.0,1.0,1.0,0.0,0.004207826529939967,-0.003738184769948314,0.9534351825714111
disturbance_burst,medium,in_distribution_single_shift,adaptive_gru_nominal,adaptive_gru_uncertainty,9,0.1378138115008672,0.1461739929185973,0.008360181417730117,0.1111111111111111,1.0,1.0,0.0,0.002628399421357444,-0.0036562507351239554,0.9515500134891934
disturbance_burst,mild,hard_unseen_trajectory,adaptive_gru_nominal,adaptive_gru_uncertainty,3,0.11683118591705954,0.11426671842734015,-0.0025644674897193722,1.0,1.0,1.0,0.0,0.0004232772625982663,0.014877110719680795,0.9503071308135986
disturbance_burst,mild,in_distribution_single_shift,adaptive_gru_nominal,adaptive_gru_uncertainty,9,0.1257335816820462,0.12573571089241237,2.1292103661569984e-06,0.4444444444444444,1.0,1.0,0.0,-9.593274444342315e-05,0.0007426945699585932,0.9653486410776774
disturbance_burst,severe,hard_unseen_trajectory,adaptive_gru_nominal,adaptive_gru_uncertainty,3,0.1603569984436035,0.16526103516419724,0.004904036720593734,0.3333333333333333,1.0,1.0,0.0,0.001228907921661933,0.01217616101106006,0.9535939494768778
disturbance_burst,severe,in_distribution_single_shift,adaptive_gru_nominal,adaptive_gru_uncertainty,9,0.16398135324319202,0.16693726844257775,0.0029559151993857335,0.3333333333333333,1.0,1.0,0.0,0.00725485231830841,-0.0055296023686727015,0.9560710257954068
actuator_delay+disturbance_burst,medium,compound_shift_ood,adaptive_mlp,adaptive_gru_uncertainty,9,0.20722498827510408,0.18256288932429415,-0.024662098950809914,1.0,1.0,1.0,0.0,0.00546339681992929,-0.007066474192672316,0.9541096952226427
actuator_delay+disturbance_burst,mild,compound_shift_ood,adaptive_mlp,adaptive_gru_uncertainty,9,0.14473870810535217,0.1298072884480158,-0.014931419657336365,1.0,1.0,1.0,0.0,0.0029935591543714334,-0.005964246061113166,0.950148257944319
actuator_delay+disturbance_burst,severe,compound_shift_ood,adaptive_mlp,adaptive_gru_uncertainty,9,0.25812047388818526,0.23525435560279417,-0.02286611828539107,0.8888888888888888,1.0,1.0,0.0,0.01833375253611143,-0.002298500802781822,0.9547052582105001
disturbance_burst,medium,hard_unseen_trajectory,adaptive_mlp,adaptive_gru_uncertainty,3,0.18994239469369253,0.15335930387179053,-0.036583090821901976,1.0,1.0,1.0,0.0,-0.004424238732705533,0.0013708074887593587,0.9534351825714111
disturbance_burst,medium,in_distribution_single_shift,adaptive_mlp,adaptive_gru_uncertainty,9,0.16501024530993563,0.1461739929185973,-0.018836252391338335,1.0,1.0,1.0,0.0,-0.006309252491013877,-0.006291540960470834,0.9515500134891934
disturbance_burst,mild,hard_unseen_trajectory,adaptive_mlp,adaptive_gru_uncertainty,3,0.14305431892474488,0.11426671842734015,-0.028787600497404735,1.0,1.0,1.0,0.0,0.0012697020235160992,-0.010565896828969338,0.9503071308135986
disturbance_burst,mild,in_distribution_single_shift,adaptive_mlp,adaptive_gru_uncertainty,9,0.14022430529197052,0.12573571089241237,-0.014488594399558158,1.0,1.0,1.0,0.0,0.0015443336839477116,-0.008446719083521112,0.9653486410776774
disturbance_burst,severe,hard_unseen_trajectory,adaptive_mlp,adaptive_gru_uncertainty,3,0.2038066933552424,0.16526103516419724,-0.03854565819104517,1.0,1.0,1.0,0.0,-0.011034291237592699,0.00010695556799568869,0.9535939494768778
disturbance_burst,severe,in_distribution_single_shift,adaptive_mlp,adaptive_gru_uncertainty,9,0.20242263542281252,0.16693726844257775,-0.03548536698023477,1.0,1.0,1.0,0.0,-0.007727539399638768,-0.005860863460434823,0.9560710257954068
